,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,Lesnoy,57.6198,63.0784,17.6,98,100,3.56,RU,1613226165
266,Klaksvík,62.2266,-6.589,37.4,70,75,33.38,FO,1613226165
267,Bayeux,-7.125,-34.9322,80.6,100,75,6.91,BR,1613226064
268,Isla Vista,34.4133,-119.861,52.0,71,1,3.44,US,1613226165
269,Zilair,52.2332,57.4392,24.58,96,100,10.31,RU,1613226165
270,Gualaquiza,-3.4,-78.55,71.31,73,58,0.74,EC,1613226165
271,Yangi Marg`ilon,40.4272,71.7189,51.8,50,100,4.61,UZ,1613226166
272,Lima,-12.0432,-77.0282,73.4,78,0,6.91,PE,1613225882
273,Novopokrovka,49.8425,36.5477,12.0,85,75,20.13,UA,1613226166
274,Jarosław,50.0162,22.6778,26.01,92,100,15.97,PL,1613226166
275,Kosa,59.9445,54.9977,2.17,94,100,9.13,RU,1613226166
276,Chardara,41.2547,67.9692,57.25,51,0,7.67,KZ,1613226166
277,Kumul,42.8,93.45,36.79,74,99,2.08,CN,1613226166
278,Upata,8.0086,-62.3989,81.39,57,17,11.61,VE,1613226166
279,Manhattan,40.7834,-73.9662,26.6,33,1,5.75,US,1613226166
280,Koutsouras,35.0339,25.9469,59.9,66,18,10.33,GR,1613226166
281,Kalāleh,37.3807,55.4916,64.4,48,0,6.91,IR,1613226166
282,Yarim,14.298,44.3779,62.83,38,0,6.11,YE,1613226077
283,Omboué,-1.5746,9.2618,82.92,73,100,8.01,GA,1613226166
284,Māngrol,21.1167,70.1167,72.95,76,0,12.95,IN,1613226166
285,Tahoua,14.8888,5.2692,96.8,4,0,9.22,NE,1613226166
286,Nampula,-15.1165,39.2666,86.0,62,75,11.5,MZ,1613226166
287,Tomatlán,19.9333,-105.25,59.07,82,63,4.23,MX,1613226166
288,Changping,40.2186,116.2197,44.01,93,100,2.24,CN,1613226166
289,Regina,50.4501,-104.6178,-34.6,67,1,3.44,CA,1613226167
290,Gamba,-2.65,10.0,78.26,83,100,3.4,GA,1613226167
291,Kalmunai,7.4167,81.8167,77.97,87,100,9.86,LK,1613226167
292,Kurchum,48.5722,83.6542,1.11,93,11,0.98,KZ,1613226167
293,Matiguás,12.8373,-85.4622,62.6,100,20,1.52,NI,1613226167
294,Amahai,-3.3333,128.9167,80.2,80,100,3.27,ID,1613226167
295,Longyearbyen,78.2186,15.6401,10.4,61,75,12.66,SJ,1613226167
296,Thessalon,46.2501,-83.5666,1.4,66,40,6.91,CA,1613226167
297,Kargat,55.1956,80.2811,-6.68,89,100,8.55,RU,1613226128
298,Sechura,-5.5569,-80.8222,79.03,61,69,10.78,PE,1613226167
299,Eldorado,-23.7869,-54.2836,79.74,67,2,3.02,BR,1613226167
300,Bathsheba,13.2167,-59.5167,84.2,54,20,23.02,BB,1613226167
301,Rawson,-43.3002,-65.1023,80.04,51,45,21.47,AR,1613225992
302,Naze,28.3667,129.4833,65.17,88,30,20.22,JP,1613226167
303,Hitiaa,-17.6,-149.3,77.0,73,40,2.3,PF,1613226167
304,Haines Junction,60.7522,-137.5108,-27.4,68,0,0.96,CA,1613226167
305,Dakar,14.6937,-17.4441,73.4,53,0,16.11,SN,1613226002
306,Kruisfontein,-34.0033,24.7314,80.92,62,100,11.7,ZA,1613226168
307,Mbandaka,0.0487,18.2603,94.14,40,39,3.4,CD,1613226168
308,São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,89,40,4.61,BR,1613226168
309,Nhulunbuy,-12.2333,136.7667,80.6,83,40,5.75,AU,1613226168
310,Qui Nhon,13.7667,109.2333,67.39,80,70,8.3,VN,1613225948
311,Forestville,38.8451,-76.875,30.2,64,90,9.22,US,1613225978
312,Heidelberg,-26.5048,28.3592,77.0,46,0,3.44,ZA,1613225948
313,Baykit,61.67,96.37,-20.42,83,99,1.28,RU,1613226168
314,Vila Velha,-20.3297,-40.2925,86.0,65,75,9.22,BR,1613226168
315,Muros,42.7762,-9.0603,57.99,88,100,18.01,ES,1613226168
316,Dwārka,22.2394,68.9678,72.01,75,0,9.62,IN,1613226168
317,Kiryat Gat,31.61,34.7642,66.99,52,0,3.0,IL,1613225941
318,Río Gallegos,-51.6226,-69.2181,62.6,34,0,19.57,AR,1613226081
319,Ketchikan,55.3422,-131.6461,35.6,34,1,4.61,US,1613226168
320,Cabra,37.4725,-4.4421,66.2,55,0,1.14,ES,1613226168
321,Isetskoye,56.4858,65.3226,19.29,97,100,7.05,RU,1613226168
322,Pokhara,28.2333,83.9833,59.58,54,60,2.24,NP,1613226168
323,Ulladulla,-35.35,150.4667,61.0,94,40,5.75,AU,1613226168
324,Bodden Town,19.2833,-81.25,80.6,74,40,11.5,KY,1613226168
325,Safi,32.2994,-9.2372,68.88,47,0,17.47,MA,1613226108
326,Nuuk,64.1835,-51.7216,17.6,86,75,17.27,GL,1613226168
327,Harper,4.375,-7.7169,83.35,78,27,10.47,LR,1613226168
328,Batagay-Alyta,67.8006,130.4114,-10.08,79,19,1.43,RU,1613226169
329,Krutikha,53.9599,81.2093,-9.06,88,100,5.03,RU,1613226169
330,Opuwo,-18.0607,13.84,85.69,20,73,9.24,NA,1613226169
331,Anadyr,64.75,177.4833,1.4,78,90,2.24,RU,1613226169
332,Samarai,-10.6167,150.6667,82.53,72,95,5.48,PG,1613226169
333,Alyangula,-13.8483,136.4192,80.6,94,90,8.05,AU,1613226169
334,Kaitangata,-46.2817,169.8464,55.99,89,100,5.7,NZ,1613226169
335,Great Bend,38.3645,-98.7648,1.0,78,90,14.97,US,1613226169
336,Wawa,9.9022,4.4192,98.31,9,0,4.85,NG,1613226169
337,Huaiyuan,32.973,117.1995,55.54,79,43,5.79,CN,1613226169
338,Rovaniemi,66.5,25.7167,14.0,85,0,6.91,FI,1613226160
339,Biak,-0.9131,122.8766,76.84,80,100,1.19,ID,1613226169
340,Kunshan,31.3776,120.9543,55.4,71,0,6.71,CN,1613226169
341,Khandyga,62.6667,135.6,-5.87,86,0,1.83,RU,1613226169
342,Muisne,0.6,-80.0333,77.0,100,75,6.91,EC,1613226169
343,Ternate,0.8,127.4,81.48,77,100,8.05,ID,1613226169
344,Arlit,18.7369,7.3853,90.79,9,0,4.38,NE,1613226169
345,Baruun-Urt,46.6806,113.2792,-5.44,79,100,3.44,MN,1613226169
346,Bara,10.3744,10.7288,96.8,9,0,7.61,NG,1613226169
347,Karangampel,-6.4622,108.4519,79.23,84,97,7.25,ID,1613226169
348,Broome,42.2506,-75.833,14.0,52,1,5.75,US,1613226169
349,Puerto Gaitán,4.3133,-72.0816,90.43,39,100,16.26,CO,1613226169
350,Beloha,-25.1667,45.05,87.67,51,100,14.47,MG,1613226169
351,Shakawe,-18.3667,21.85,76.71,71,83,11.39,BW,1613226170
352,Matamoros,25.5333,-103.25,48.2,76,20,3.29,MX,1613226170
353,Orlik,52.5178,99.825,-12.15,77,99,3.83,RU,1613226170
354,Poronaysk,49.2167,143.1167,17.01,95,23,2.35,RU,1613226170
355,Hilton Head,32.2163,-80.7526,46.0,93,90,14.97,US,1613226020
356,Pisco,-13.7,-76.2167,77.0,61,0,6.91,PE,1613226170
357,Hay River,60.8156,-115.7999,-14.8,76,2,5.75,CA,1613226170
358,Palana,59.1167,159.9667,-9.51,85,0,9.4,RU,1613226170
359,Linjiang,41.8069,126.9078,36.05,84,100,1.14,CN,1613226170
360,Urambo,-5.0667,32.05,75.63,80,81,4.43,TZ,1613226170
361,Vágur,61.4732,-6.8119,38.53,76,100,37.6,FO,1613226170
362,Santa Rosa,14.3122,121.1114,78.8,78,40,5.75,PH,1613226170
363,Honningsvåg,70.9821,25.9704,28.65,86,93,17.13,NO,1613226170
364,Cordele,31.9635,-83.7824,46.0,93,90,8.05,US,1613226170
365,Mehrān,33.1222,46.1646,60.8,23,0,6.91,IR,1613226170
366,Synya,65.3718,58.0387,-20.78,87,17,3.09,RU,1613226170
367,Waipawa,-41.4122,175.5153,62.01,82,29,18.41,NZ,1613226170
368,São Raimundo das Mangabeiras,-7.0219,-45.4811,81.88,78,93,6.73,BR,1613226170
369,Nouadhibou,20.931,-17.0347,84.2,26,0,23.02,MR,1613226170
370,Yinchuan,38.4681,106.2731,43.97,47,0,2.51,CN,1613226171
371,Guangming,45.3333,122.7833,16.56,69,31,10.89,CN,1613226171
372,Nivala,63.9167,24.9667,21.0,91,7,3.0,FI,1613226171
373,Kulhudhuffushi,6.6221,73.07,80.58,63,0,8.34,MV,1613226171
374,Paraná,-31.732,-60.5238,88.0,48,0,1.01,AR,1613226171
375,Achit,56.7985,57.8994,31.39,98,100,5.53,RU,1613226171
376,Skrunda,56.6833,22.0167,32.0,74,75,12.66,LV,1613226171
377,Tadine,-21.55,167.8833,77.43,83,0,2.53,NC,1613226171
378,Palu,-0.8917,119.8707,77.79,79,100,1.7,ID,1613226171
379,Gao,16.6362,1.637,95.67,8,0,9.64,ML,1613226171
380,Coahuayana Viejo,18.7333,-103.6833,57.2,82,1,4.88,MX,1613226171
381,Rocha,-34.4833,-54.3333,76.93,76,86,7.27,UY,1613226171
382,Bilma,18.6853,12.9164,89.64,11,0,8.21,NE,1613226171
383,Forécariah,9.4306,-13.0881,89.6,48,0,6.91,GN,1613226171
384,Hervey Bay,-25.2986,152.8535,79.0,72,84,4.0,AU,1613226001
385,Lorengau,-2.0226,147.2712,80.64,81,100,7.36,PG,1613226171
386,Ōdachō-ōda,35.1833,132.5,52.86,81,11,6.42,JP,1613226171
387,Abhā,18.2164,42.5053,68.0,49,20,9.22,SA,1613226171
388,Litovko,49.2361,135.1742,16.07,94,100,4.65,RU,1613226171
389,Ilabaya,-17.4208,-70.5133,70.59,50,99,5.99,PE,1613226171
390,Sweetwater,25.7634,-80.3731,80.6,83,90,8.05,US,1613226094
391,Riohacha,11.5444,-72.9072,82.04,66,6,12.55,CO,1613226172
392,Pathein,16.7833,94.7333,67.19,69,7,9.31,MM,1613226172
393,Brownwood,31.7093,-98.9912,19.4,86,90,16.11,US,1613226172
394,Hede,33.7681,120.2517,46.58,72,100,6.04,CN,1613226172
395,Bouca,6.5105,18.2733,107.96,7,37,2.75,CF,1613226172
396,Bamora,24.0552,78.0909,71.26,22,0,4.32,IN,1613226172
397,Province of Mantua,45.1667,10.7833,39.0,44,19,5.99,IT,1613226018
398,Cairns,-16.9167,145.7667,79.0,89,90,2.91,AU,1613225997
399,Diego de Almagro,-26.3667,-70.05,73.24,28,0,4.63,CL,1613226172
400,Antalaha,-14.9003,50.2788,79.25,84,100,6.53,MG,1613226172
401,Ascension,30.2169,-90.9001,37.4,93,90,10.33,US,1613226172
402,Berlevåg,70.8578,29.0864,20.59,95,92,6.85,NO,1613226172
403,Malinyi,-8.9333,36.1333,86.77,63,46,5.68,TZ,1613226172
404,Launceston,-41.45,147.1667,60.8,72,90,5.75,AU,1613226172
405,Methóni,36.8197,21.7049,63.0,55,75,8.05,GR,1613226172
406,Shimoda,34.6667,138.95,46.0,81,67,4.0,JP,1613226172
407,Salalah,17.0151,54.0924,78.8,61,0,5.75,OM,1613226162
408,Kuusalu,59.4439,25.4414,28.0,93,90,9.22,EE,1613226172
409,Kondagaon,19.6,81.6667,70.45,32,0,3.11,IN,1613225897
410,Caldwell,43.6629,-116.6874,26.6,93,90,2.71,US,1613226021
411,Sola,-13.8833,167.55,79.75,81,100,6.26,VU,1613226173
412,Manuk Mangkaw,4.8,119.85,82.65,74,100,4.88,PH,1613226173
413,Manzanares,38.9991,-3.3699,60.01,54,94,5.01,ES,1613226173
414,Port Macquarie,-31.4333,152.9167,69.8,100,90,9.22,AU,1613226173
415,Boone,39.0334,-92.3335,0.0,66,100,7.0,US,1613226173
416,Mehamn,71.0357,27.8492,26.64,90,100,12.41,NO,1613226173
417,Centennial,39.5792,-104.8769,0.0,78,90,4.61,US,1613226173
418,Cherskiy,68.75,161.3,-18.67,82,29,3.0,RU,1613226173
419,Sistranda,63.7256,8.834,32.0,100,75,23.02,NO,1613226173
420,Puerto Nariño,-3.7703,-70.3831,80.6,94,75,2.3,CO,1613226173
421,Ciudad Bolivar,8.1222,-63.5497,85.91,52,20,15.5,VE,1613226173
422,Trofors,65.5333,13.4063,35.6,87,75,4.61,NO,1613226173
423,Jacmel,18.2342,-72.5347,82.4,51,20,21.85,HT,1613226173
424,Acapulco de Juárez,16.8634,-99.8901,69.8,88,1,2.3,MX,1613225908
425,Vardø,70.3705,31.1107,14.0,100,40,12.66,NO,1613226173
426,Outjo,-20.1167,16.15,71.78,70,98,13.71,NA,1613226173
427,Rāwah,34.4816,41.9093,68.88,32,0,8.08,IQ,1613226173
428,Tabou,4.423,-7.3528,83.21,79,42,10.74,CI,1613226173
429,Channel-Port aux Basques,47.5702,-59.1367,27.09,93,100,16.37,CA,1613226173
430,Hauge i Dalane,58.3436,6.2812,32.0,36,0,1.99,NO,1613226173
431,Santa Teresa del Tuy,10.2341,-66.6631,84.2,74,40,5.75,VE,1613226173
432,Båtsfjord,70.6345,29.7185,14.0,100,40,12.66,NO,1613226174
433,Christchurch,-43.5333,172.6333,61.0,94,6,9.22,NZ,1613226174
434,Basco,20.4487,121.9702,73.38,80,2,16.35,PH,1613226174
435,College,64.8569,-147.8028,-5.01,69,1,2.53,US,1613226174
436,Coyhaique,-45.5752,-72.0662,60.8,44,20,8.05,CL,1613225999
437,Silleda,42.696,-8.2465,55.99,94,75,8.05,ES,1613226174
438,Gaspé,48.8334,-64.4819,21.2,63,90,10.36,CA,1613225901
439,Bonthe,7.5264,-12.505,88.93,54,0,11.92,SL,1613226174
440,Nirgua,10.1553,-68.5663,77.0,88,75,1.12,VE,1613226174
441,Nyimba,-14.5566,30.8149,79.16,83,18,5.68,ZM,1613226174
442,Bongandanga,1.5,21.05,103.59,18,39,0.27,CD,1613226174
443,Erdenet,49.0333,104.0833,-9.89,90,0,2.93,MN,1613226174
444,Baoshan,46.5586,131.4244,26.01,98,100,4.07,CN,1613226174
445,San Isidro,-12.1167,-77.05,73.4,78,0,6.91,PE,1613226174
446,Tautira,-17.7333,-149.15,77.0,73,40,2.3,PF,1613226174
447,Henties Bay,-22.116,14.2845,70.52,83,76,7.11,NA,1613226174
448,Lerwick,60.1545,-1.1494,37.4,60,75,27.63,GB,1613226174
449,Vila Franca do Campo,37.7167,-25.4333,62.6,77,20,23.02,PT,1613226175
450,Airai,-8.9266,125.4092,62.04,100,69,0.49,TL,1613226175
451,Deputatsky,69.3,139.9,-29.22,87,81,2.04,RU,1613226175
452,Waingapu,-9.6567,120.2641,79.14,82,100,5.82,ID,1613226175
453,Melilla,35.2937,-2.9383,69.8,40,0,9.22,ES,1613226175
454,Kholodnyy,62.7167,147.95,-15.41,84,0,4.25,RU,1613226175
455,Kinablangan,7.6947,126.5503,79.02,79,100,2.28,PH,1613226175
456,Vestmannaeyjar,63.4427,-20.2734,41.0,87,90,47.18,IS,1613226175
457,Nokaneng,-19.6667,22.2667,79.3,64,100,5.41,BW,1613226175
458,Vredendal,-31.6683,18.5012,81.7,42,0,18.39,ZA,1613226175
459,Pangnirtung,66.1451,-65.7125,-22.05,81,97,1.41,CA,1613226175
460,Cidreira,-30.1811,-50.2056,81.28,62,0,2.68,BR,1613226175
461,Livenka,50.4491,38.2959,13.91,92,100,17.31,RU,1613226011
462,Itaituba,-4.2761,-55.9836,85.64,65,100,5.77,BR,1613225904
463,Bhuj,23.2667,69.6667,74.86,27,0,7.45,IN,1613226175
464,Camopi,3.1655,-52.3158,79.36,90,93,4.25,GF,1613226175
465,Mujiayingzi,42.1167,118.7833,21.13,86,100,4.56,CN,1613226175
466,Poddor'ye,57.4695,31.1156,9.73,88,100,11.81,RU,1613226175
467,Sur,22.5667,59.5289,72.5,65,0,6.17,OM,1613226176
468,Mahon,39.8885,4.2658,55.4,71,40,16.11,ES,1613226176
469,Salinópolis,-0.6136,-47.3561,83.61,76,100,9.82,BR,1613226176
470,Kewanee,41.2456,-89.9248,1.0,79,100,3.0,US,1613226176
471,Evensk,61.95,159.2333,-7.94,77,0,8.48,RU,1613226176
472,Lazurne,46.084,32.5295,21.2,58,75,24.61,UA,1613226176
473,Touros,-5.1989,-35.4608,87.8,62,75,18.41,BR,1613226176
474,Rio Claro,-22.4114,-47.5614,75.99,83,90,5.75,BR,1613226176
475,Río Blanco,18.8333,-97.15,57.09,65,6,3.71,MX,1613226176
476,Usinsk,65.9939,57.5281,-23.94,87,10,2.04,RU,1613226176
477,Kindu,-2.95,25.95,91.13,46,9,1.66,CD,1613226176
478,Quang Ngai,15.1167,108.8,63.54,84,22,3.06,VN,1613225937
479,Koungheul,13.9833,-14.8,103.3,7,2,9.17,SN,1613225904
480,Bambanglipuro,-7.95,110.2833,78.19,84,100,2.35,ID,1613226176
481,Heyang,26.1011,107.473,53.2,89,100,2.86,CN,1613226176
482,Rio Grande,-32.035,-52.0986,82.4,65,75,3.44,BR,1613226125
483,Margate,51.3813,1.3862,35.01,44,100,7.0,GB,1613226176
484,Shingū,33.7333,135.9833,54.14,73,90,1.86,JP,1613226176
485,Longonjo,-12.9067,15.2533,82.4,28,40,13.8,AO,1613226002
486,Mansehra,34.3333,73.2,55.6,38,10,1.48,PK,1613225883
487,Tupelo,34.2576,-88.7034,28.99,86,90,9.22,US,1613226027
488,Grafton,42.207,-71.6856,21.99,32,1,9.22,US,1613225984
489,Potam,27.6,-110.3833,59.0,87,1,3.44,MX,1613226176
490,Macapá,0.0389,-51.0664,89.6,66,75,11.5,BR,1613226177
491,Tutóia,-2.7619,-42.2744,91.4,58,20,12.66,BR,1613226177
492,Saint-François,46.4154,3.9054,32.0,64,90,8.05,FR,1613226177
493,Bengkulu,-3.8004,102.2655,80.19,80,100,2.04,ID,1613226177
494,Narsaq,60.9167,-46.05,42.8,31,75,24.16,GL,1613225949
495,Cassilândia,-19.1133,-51.7342,78.85,73,100,3.62,BR,1613226177
496,Marang,5.2056,103.2059,80.6,74,40,6.91,MY,1613226177
497,Bathurst,-33.4166,149.5806,60.01,83,6,1.99,AU,1613226177
498,Galle,6.0367,80.217,78.51,80,96,2.77,LK,1613226177
499,Porto Santo,33.072,-16.3415,62.6,67,0,10.36,PT,1613226177
500,Les Cayes,18.2,-73.75,79.47,70,37,18.97,HT,1613226177
501,Mnogovershinnyy,53.9353,139.9242,7.86,97,96,2.1,RU,1613226177
502,Zhigansk,66.7697,123.3711,-12.19,89,100,10.36,RU,1613226177
503,Chimbarongo,-34.7,-71.05,73.0,73,75,4.61,CL,1613226177
504,Mackenzie,55.2999,-123.1698,-0.4,71,1,6.91,CA,1613226177
505,Nizhnevartovsk,60.9344,76.5531,-2.2,78,90,6.71,RU,1613226177
506,Berdigestyakh,62.0989,126.6992,-11.9,89,100,6.89,RU,1613226178
507,Khvorostyanka,52.6096,48.9597,27.63,97,100,17.31,RU,1613226178
508,Kitimat,54.0524,-128.6534,19.4,49,90,20.71,CA,1613226055
509,Vestmanna,62.1564,-7.1664,37.4,70,75,33.38,FO,1613226178
510,Kashgar,39.4547,75.9797,48.2,29,75,2.24,CN,1613226178
511,Turukhansk,65.8167,87.9833,-29.29,79,0,8.32,RU,1613226178
512,Oranjemund,-28.55,16.4333,69.35,72,14,11.77,NA,1613226178
513,Laas,46.6166,10.7002,41.0,58,0,9.22,IT,1613226178
514,Tallahassee,30.4383,-84.2807,59.0,94,90,10.36,US,1613226065
515,Colac,-38.3333,143.5833,55.99,31,0,1.01,AU,1613226178
516,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,39.72,62,74,3.4,CN,1613226178
517,Awjilah,29.1081,21.2869,70.52,23,0,2.3,LY,1613226178
518,Lincoln,40.8,-96.667,-2.0,71,75,6.91,US,1613226131
519,Peniche,39.3558,-9.3811,64.99,76,0,10.0,PT,1613226178
520,Sennar,13.5691,33.5672,99.12,10,0,5.53,SD,1613226178
521,Luanda,-8.8368,13.2343,87.8,58,20,11.5,AO,1613225927
522,Havre-St-Pierre,50.2334,-63.5986,12.2,62,90,10.36,CA,1613226178
523,Ingham,42.6,-84.3833,17.01,86,90,3.44,US,1613226178
524,Gornopravdinsk,60.05,69.9,0.39,93,99,1.92,RU,1613226128
525,Mvuma,-19.2792,30.5283,74.44,71,58,8.39,ZW,1613226178
526,Nanchang,28.6833,115.8833,58.53,79,83,3.29,CN,1613226178
527,Fernandina Beach,30.6697,-81.4626,54.0,96,90,6.91,US,1613226178
528,Kysyl-Syr,63.8986,122.7617,-13.92,88,100,7.11,RU,1613226179
529,Znamenskoye,57.1281,73.8282,0.28,93,100,7.45,RU,1613226179
530,Peace River,56.2501,-117.286,-27.4,68,1,10.36,CA,1613226179
